Month,Day,Time,State,F Scale,Injuries,Fatalities,PropLoss,Length,Width,NumberStates,F0
2,28,19:51:00,MO,4,12,1,8000000,17.39,1100,2,No
2,28,20:12:00,IL,3,0,0,6800000,36.08,850,2,No
2,28,19:54:00,MI,1,0,0,0,0.57,100,1,No
2,28,19:58:00,MI,1,0,0,0,4.99,100,1,No
2,28,20:12:00,MI,1,0,0,0,2.7,150,1,No
2,28,20:38:00,MI,1,0,0,0,2.04,50,1,No
2,28,21:33:00,IL,1,1,0,0,0.66,50,1,No
2,28,21:43:00,IL,1,0,0,0,2.33,50,1,No
2,28,21:55:00,IL,3,2,1,5700000,44.13,440,2,No
2,28,21:55:00,IL,3,1,1,2000000,9.56,420,2,No
2,28,22:08:00,IN,3,1,0,3700000,34.57,440,2,No
2,28,22:35:00,KY,0,0,0,70000,8.8,30,1,Yes
2,28,22:37:00,KS,0,0,0,50000,0.1,75,1,Yes
2,28,22:43:00,KS,0,0,0,10000,0.1,75,1,Yes
2,28,22:44:00,IL,1,0,0,6000,7.36,25,1,No
2,28,23:03:00,IN,2,0,0,350000,5.8,150,1,No
2,28,23:28:00,KY,1,0,0,300000,8.58,400,1,No
3,1,0:30:00,MO,0,0,0,25000,1,100,1,Yes
3,1,0:35:00,KY,1,0,0,50000,0.78,90,1,No
3,1,1:29:00,AR,1,0,0,20000,0.14,200,1,No
3,1,1:31:00,OH,0,0,0,30000,6.87,250,1,Yes
3,1,1:40:00,OH,0,0,0,10000,4.53,100,1,Yes
3,1,2:16:00,AR,1,0,0,30000,1,250,1,No
3,1,2:18:00,AR,0,0,0,40000,1.1,50,1,Yes
3,1,2:33:00,AR,1,0,0,20000,3.9,250,1,No
3,1,2:38:00,OH,1,0,0,400000,6.39,150,1,No
3,1,3:13:00,AR,1,0,0,30000,4.24,200,1,No
3,1,3:20:00,AR,1,0,0,100000,1.6,125,1,No
3,1,4:00:00,IN,2,0,0,40000,0.15,30,1,No
3,1,4:05:00,IN,2,0,0,65000,1.52,30,1,No
3,1,4:08:00,IL,0,0,0,2000,4.11,25,1,Yes
3,1,4:10:00,IN,1,0,0,35000,0.04,30,1,No
3,1,4:30:00,IN,1,0,0,22000,0.21,40,1,No
3,1,4:37:00,IN,2,1,0,175000,0.68,25,1,No
3,1,4:40:00,MO,1,0,0,400000,15.21,200,1,No
3,1,4:41:00,IN,1,0,0,150000,5.8,100,1,No
3,1,4:45:00,IN,2,0,0,45000,0.25,50,1,No
3,1,4:51:00,TN,0,0,0,50000,3.71,50,1,Yes
3,1,5:04:00,IN,1,0,0,200000,0.33,20,1,No
3,1,5:05:00,IN,1,10,0,250000,2.15,125,1,No
3,1,5:25:00,KY,2,0,0,170000,1.55,200,1,No
3,1,5:36:00,KY,1,0,0,100000,1.08,200,1,No
3,1,6:03:00,OH,0,0,0,250000,1.05,350,1,Yes
