Month,Day,Time,State,f scale,Injuries,Fatalities,Prop loss,Length,Width,Number,F0,ln(length),,,,,,,,
3,1,0:30:00,MO,0,0,0,25000,1,100,1,Yes,0,,,,,,,,
3,1,0:35:00,KY,1,0,0,50000,0.78,90,1,No,-0.248461359,,,,,,,,
3,1,1:29:00,AR,1,0,0,20000,0.14,200,1,No,-1.966112856,,,,,,,,
3,1,1:31:00,OH,0,0,0,30000,6.87,250,1,Yes,1.927164106,,,,,,,,
3,1,1:40:00,OH,0,0,0,10000,4.53,100,1,Yes,1.510721939,,,,,,,,
3,1,2:16:00,AR,1,0,0,30000,1,250,1,No,0,,,,,,,,
3,1,2:18:00,AR,0,0,0,40000,1.1,50,1,Yes,0.09531018,,,,,,,,
3,1,2:33:00,AR,1,0,0,20000,3.9,250,1,No,1.360976553,,,,,,,,
3,1,2:38:00,OH,1,0,0,400000,6.39,150,1,No,1.854734268,,,,,,,,
3,1,3:13:00,AR,1,0,0,30000,4.24,200,1,No,1.444563269,,,,,,,,
3,1,3:20:00,AR,1,0,0,100000,1.6,125,1,No,0.470003629,,,,,,,,
3,1,4:00:00,IN,2,0,0,40000,0.15,30,1,No,-1.897119985,,,,,,,,
3,1,4:05:00,IN,2,0,0,65000,1.52,30,1,No,0.418710335,,,,,,,,
3,1,4:08:00,IL,0,0,0,2000,4.11,25,1,Yes,1.413423029,,,,,,,,
3,1,4:10:00,IN,1,0,0,35000,0.04,30,1,No,-3.218875825,,,,,,,,
3,1,4:30:00,IN,1,0,0,22000,0.21,40,1,No,-1.560647748,,,,,,,,
3,1,4:37:00,IN,2,1,0,175000,0.68,25,1,No,-0.385662481,,,,,,,,
3,1,4:40:00,MO,1,0,0,400000,15.21,200,1,No,2.721953106,,,,,,,,
3,1,4:41:00,IN,1,0,0,150000,5.8,100,1,No,1.757857918,,,,,,,,
3,1,4:45:00,IN,2,0,0,45000,0.25,50,1,No,-1.386294361,,,,,,,,
3,1,4:51:00,TN,0,0,0,50000,3.71,50,1,Yes,1.311031877,,,,,,,,
3,1,5:04:00,IN,1,0,0,200000,0.33,20,1,No,-1.108662625,,,,,,,,
3,1,5:05:00,IN,1,10,0,250000,2.15,125,1,No,0.765467842,,,,,,,,
3,1,5:25:00,KY,2,0,0,170000,1.55,200,1,No,0.438254931,,,,,,,,
3,1,5:36:00,KY,1,0,0,100000,1.08,200,1,No,0.076961041,,,,,,,,
3,1,6:03:00,OH,0,0,0,250000,1.05,350,1,Yes,0.048790164,,,,,,,,
3,1,6:39:00,OH,1,0,0,50000,2.19,150,1,No,0.783901544,,,,,,,,
3,1,6:57:00,KY,1,0,0,100000,1.57,75,1,No,0.451075619,,,,,,,,
3,1,7:00:00,TN,1,0,0,7270000,10.48,250,1,No,2.349468679,,,,,,,,
3,1,7:16:00,OH,1,0,0,30000,0.57,125,1,No,-0.562118918,,,,,,,,
3,1,7:17:00,TN,0,0,0,55000,3.15,100,1,Yes,1.147402453,,,,,,,,
3,1,7:24:00,KY,1,0,0,250000,2.63,125,1,No,0.966983846,,,,,,,,
3,1,7:37:00,TN,0,0,0,15000,3.32,100,1,Yes,1.199964783,,,,,,,,
3,1,7:40:00,TN,1,0,0,110000,7.17,200,1,No,1.969905655,,,,,,,,
3,1,7:51:00,TN,1,0,0,40000,3.91,200,1,No,1.363537374,,,,,,,,
3,1,8:04:00,TN,1,0,0,25000,7.62,150,1,No,2.03077637,,,,,,,,
3,1,8:07:00,OH,1,0,0,80000,0.05,300,1,No,-2.995732274,,,,,,,,
3,1,8:35:00,TN,1,0,0,10000,0.11,90,1,No,-2.207274913,,,,,,,,
3,1,15:27:00,GA,1,0,0,100000,2.88,150,1,No,1.057790294,,,,,,,,
3,5,11:55:00,TX,0,0,0,0,0.01,30,1,Yes,-4.605170186,,,,,,,,
3,5,12:05:00,TX,0,0,0,0,0.01,20,1,Yes,-4.605170186,,,,,,,,
3,6,17:04:00,MN,1,0,0,0,9.32,200,1,No,2.232162629,,,,,,,,
3,6,17:23:00,IA,0,0,0,0,2.38,30,1,Yes,0.867100488,,,,,,,,
3,6,17:28:00,IA,1,0,0,70000,2.87,50,1,No,1.05431203,,,,,,,,
3,6,17:35:00,KS,0,0,0,0,0.1,50,1,Yes,-2.302585093,,,,,,,,
3,6,17:36:00,KS,0,0,0,0,16.06,50,1,Yes,2.776331709,,,,,,,,
3,6,17:37:00,KS,0,0,0,0,0.01,25,1,Yes,-4.605170186,,,,,,,,
3,6,17:37:00,KS,0,0,0,0,0.12,50,1,Yes,-2.120263536,,,,,,,,
3,6,17:38:00,MN,1,0,0,0,11.9,300,1,No,2.4765384,,,,,,,,
3,6,17:39:00,MN,1,0,0,0,8.78,300,1,No,2.172476408,,,,,,,,
3,6,17:59:00,KS,0,0,0,0,1.85,50,1,Yes,0.615185639,,,,,,,,
3,6,18:13:00,KS,0,0,0,0,5.21,50,1,Yes,1.650579856,,,,,,,,
3,6,18:27:00,IA,0,0,0,125000,17.86,85,1,Yes,2.882563575,,,,,,,,
3,6,18:30:00,MO,0,0,0,0,5.8,25,1,Yes,1.757857918,,,,,,,,
3,6,18:58:00,IA,1,0,0,25000,6.32,300,1,No,1.843719208,,,,,,,,
3,6,19:05:00,KS,0,0,0,0,0.11,50,1,Yes,-2.207274913,,,,,,,,
3,6,19:19:00,IA,1,0,0,80000,4.83,100,1,No,1.574846468,,,,,,,,
3,6,19:24:00,MO,2,0,0,0,19.57,1000,1,No,2.973997781,,,,,,,,
3,6,19:29:00,IA,1,0,0,50000,5.33,120,1,No,1.673351238,,,,,,,,
3,6,19:35:00,IA,1,0,0,20000,6.76,80,1,No,1.91102289,,,,,,,,
3,6,19:38:00,KS,1,0,0,0,3.05,50,1,No,1.115141591,,,,,,,,
3,6,19:40:00,MO,1,0,0,0,10.34,100,1,No,2.336019869,,,,,,,,
3,6,19:47:00,IA,0,0,0,25000,5.45,65,1,Yes,1.695615609,,,,,,,,
3,6,19:51:00,KS,0,0,0,0,0.32,100,1,Yes,-1.139434283,,,,,,,,
3,6,20:03:00,MO,0,0,0,0,2.29,25,1,Yes,0.828551818,,,,,,,,
3,6,20:11:00,MO,3,1,2,0,0,17.74,400,1,No,2.875821977,,,,,,,
3,6,20:16:00,IA,2,0,0,2020000,14.92,250,1,No,2.702702595,,,,,,,,
3,6,20:30:00,IA,1,0,0,40000,8.01,60,1,No,2.080690761,,,,,,,,
3,6,20:33:00,IA,2,0,0,750000,9.66,90,1,No,2.267993648,,,,,,,,
3,6,20:34:00,MO,1,0,0,0,1.75,50,1,No,0.559615788,,,,,,,,
3,6,20:40:00,MO,0,0,0,0,5.97,100,1,Yes,1.786746927,,,,,,,,
3,6,20:40:00,MO,0,0,0,0,17.45,400,1,Yes,2.859339649,,,,,,,,
3,6,20:46:00,WI,1,0,0,290000,2.6,200,1,No,0.955511445,,,,,,,,
