Rk.,Player,Result,Game Date,EV (MPH),LA (Â°),Pitch (MPH),Dist (ft),Vs.,var10
208,Daniel Vogelbach,home_run,2019,109,27,91.4,448,LAA,Graphs
209,Sam Hilliard,home_run,2019,107.2,36,97.8,447,NYM,Graphs
210,Michael Chavis,home_run,2019,108,26,84.3,447,BAL,Graphs
211,Hunter Dozier,home_run,2019,106.8,32,93.3,447,CWS,Graphs
212,Christian Walker,home_run,2019,110.4,29,95.4,447,NYM,Graphs
213,Yan Gomes,home_run,2019,107.6,27,88.3,447,ATL,Graphs
214,JaCoby Jones,home_run,2019,108.7,19,95.8,447,NYM,Graphs
215,David Dahl,home_run,2019,106.3,25,87.7,447,LAD,Graphs
216,Avisail Garcia,home_run,2019,112.8,27,96,447,BAL,Graphs
217,Brandon Dixon,home_run,2019,108.8,26,90.6,447,KC,Graphs
218,Ronald Guzman,home_run,2019,107.1,27,95.9,447,BAL,Graphs
219,Trevor Story,home_run,2019,104,31,73.8,447,CIN,Graphs
220,Jose Abreu,home_run,2019,111.3,24,92.6,447,SEA,Graphs
221,Tommy Pham,home_run,2019,110,28,86.4,447,SEA,Graphs
222,Jorge Soler,home_run,2019,109.9,31,93.7,447,OAK,Graphs
223,John Hicks,home_run,2019,106.5,27,79.8,447,SEA,Graphs
224,Elvis Andrus,home_run,2019,107.3,28,91.5,447,CWS,Graphs
225,Teoscar Hernandez,home_run,2019,109.3,25,92.5,447,NYY,Graphs
226,Matt Chapman,home_run,2019,105.4,25,68.1,447,KC,Graphs
227,Garrett Cooper,home_run,2019,106.7,25,82.2,447,MIL,Graphs
228,Christian Yelich,home_run,2019,112.6,22,82.1,447,SD,Graphs
229,Jorge Soler,home_run,2019,111,29,96,447,TB,Graphs
230,Shohei Ohtani,home_run,2019,109.5,24,91.6,447,OAK,Graphs
231,Derek Fisher,home_run,2019,110.7,27,94.2,447,HOU,Graphs
232,Ronald Acuna Jr.,home_run,2019,109.5,31,89.5,447,PHI,Graphs
233,Trevor Story,home_run,2019,110.6,22,89.6,447,PIT,Graphs
234,Zack Collins,home_run,2019,102.9,30,83.7,447,TEX,Graphs
235,J.D. Davis,home_run,2019,109.9,23,85,447,CLE,Graphs
236,Joc Pederson,home_run,2019,106.7,24,96.8,447,SD,Graphs
237,Roberto Perez,home_run,2019,105.8,30,86,447,NYY,Graphs
238,Austin Meadows,home_run,2019,109.8,25,92.6,447,TOR,Graphs
239,Jesus Aguilar,home_run,2019,108.5,26,93.2,446,MIA,Graphs
240,Brian Anderson,home_run,2019,111.1,23,91.9,446,MIL,Graphs
241,Avisail Garcia,home_run,2019,113.1,22,77.1,446,CLE,Graphs
242,Austin Romine,home_run,2019,111.4,20,86.7,446,BOS,Graphs
243,Javier Baez,home_run,2019,111,27,91.3,446,ARI,Graphs
244,Cheslor Cuthbert,home_run,2019,105.5,23,79.5,446,DET,Graphs
245,Michael Conforto,home_run,2019,110.4,23,96.7,446,MIA,Graphs
246,Josh Bell,home_run,2019,110.4,21,94.9,446,ARI,Graphs
247,George Springer,home_run,2019,106.8,33,91.7,446,OAK,Graphs
248,Mike Zunino,home_run,2019,111,24,96.2,446,TOR,Graphs
249,J.D. Davis,home_run,2019,111.3,23,90.6,446,WSH,Graphs
250,Victor Robles,home_run,2019,108.8,32,97.5,446,ATL,Graphs
251,Freddie Freeman,home_run,2019,111.3,26,96.5,446,LAD,Graphs
252,Eloy Jimenez,home_run,2019,111,24,93.7,446,NYY,Graphs
253,Jorge Soler,home_run,2019,112.7,33,94.1,446,CWS,Graphs
254,James McCann,home_run,2019,109.3,28,83.1,446,LAA,Graphs
255,DJ LeMahieu,home_run,2019,110.5,25,91.4,446,BAL,Graphs
256,Kris Bryant,home_run,2019,108.1,28,78.7,445,PHI,Graphs
257,Jorge Soler,home_run,2019,113.3,25,84.3,445,CWS,Graphs
258,Donovan Solano,home_run,2019,103.4,23,88.2,445,COL,Graphs
259,David Dahl,home_run,2019,106.3,30,96.2,445,LAD,Graphs
260,Christian Walker,home_run,2019,107,28,86.6,445,SD,Graphs
261,Danny Santana,home_run,2019,109.4,26,81.7,445,BOS,Graphs
262,Russell Martin,home_run,2019,107.5,26,96.2,445,COL,Graphs
263,Yasiel Puig,home_run,2019,108,22,90.6,445,MIL,Graphs
264,Jose Osuna,home_run,2019,107.1,30,94.8,445,MIL,Graphs
265,Josh Bell,home_run,2019,110.9,22,83.5,445,HOU,Graphs
266,Ji-Man Choi,home_run,2019,109.7,24,83.6,445,OAK,Graphs
267,Eugenio Suarez,home_run,2019,104.9,29,90.6,445,CHC,Graphs
268,Aristides Aquino,home_run,2019,118.3,20,83.6,445,CHC,Graphs
269,Joc Pederson,home_run,2019,110.2,28,90.3,445,PHI,Graphs
270,Albert Almora Jr.,home_run,2019,106.9,24,83,445,WSH,Graphs
271,Charlie Blackmon,home_run,2019,105.1,33,83.4,445,NYM,Graphs
272,Mike Trout,home_run,2019,112.8,27,93.1,445,TEX,Graphs
273,Charlie Blackmon,home_run,2019,105,29,89.7,445,MIA,Graphs
274,Paul Goldschmidt,home_run,2019,108.6,22,93.7,445,MIL,Graphs
275,Rafael Devers,home_run,2019,114.4,23,94.5,445,TOR,Graphs
276,Nelson Cruz,home_run,2019,108.3,27,88.1,445,DET,Graphs
277,JaCoby Jones,home_run,2019,110,19,92.9,445,LAA,Graphs
278,Giancarlo Stanton,home_run,2019,111.1,25,84.8,445,TOR,Graphs
279,Kris Bryant,home_run,2019,111.1,23,93.6,444,ARI,Graphs
280,Garrett Cooper,home_run,2019,109,33,81.4,444,PIT,Graphs
281,Mac Williamson,home_run,2019,107.1,22,96.5,444,BAL,Graphs
282,George Springer,home_run,2019,107.9,26,82.7,444,LAA,Graphs
283,Pete Alonso,home_run,2019,113,26,93.4,444,SF,Graphs
284,Renato Nunez,home_run,2019,110.4,24,94.6,444,SF,Graphs
285,Ozzie Albies,home_run,2019,109.2,30,94,444,MIN,Graphs
286,Hunter Renfroe,home_run,2019,109,26,88.3,444,SF,Graphs
287,Charlie Blackmon,home_run,2019,104.9,25,93.8,444,PHI,Graphs
288,Gary Sanchez,home_run,2019,114.7,25,92.7,444,MIN,Graphs
289,Pablo Sandoval,home_run,2019,110.8,27,96.9,444,COL,Graphs
